Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning],What is your expectation from attending this class?,What is your best favorite category to purchase online?,What is your second favorite category to purchase online?,What is you third favorite category to purchase online?
7/3/2020 1:06:16,Ms.,34,Hongkong,Have used in a project,Have used in a project,Refreshing the fundamental,Food & Beverages,Computers & Peripherals,Hobbies & Books
7/3/2020 1:11:26,Mr.,22,Indonesia,Have studied,Have studied,get to know better understanding to machine learning,Video Games,Computers & Peripherals,Men's Wear
7/3/2020 1:17:45,Mr.,29,Indonesia,Have studied,Have studied,Allows me to better understand data science,Computers & Peripherals,Mobile & Gadgets,Food & Beverages
7/3/2020 1:42:51,Mr.,40,Singapore,Have studied,No Background,"To understand how Python is being used for data science, what are the associated libraries to use etc",Hobbies & Books,Video Games,Watches
7/3/2020 2:14:15,Mr.,25,Singapore,Have used in a project,Have used in a project,Learn,Mobile & Gadgets,Computers & Peripherals,Video Games
7/3/2020 2:19:13,Mr.,22,Malaysia,Have studied,Have studied,To learn about current trends in Python programming for Data Science,Video Games,Mobile & Gadgets,Men's Wear
7/3/2020 2:41:01,Ms.,27,Malaysia,No Background,No Background,Learn from basic,Hobbies & Books,Women's Apparel,Food & Beverages
7/3/2020 4:15:38,Mr.,36,Philippines,Have studied,Have studied,Practical examples,Hobbies & Books,Computers & Peripherals,Mobile & Gadgets
7/3/2020 5:39:29,Ms.,23,Indonesia,Have used in a project,No Background,learn python,Women's Apparel,Beauty & Personal Care,Mobile & Gadgets
7/3/2020 6:14:04,Mr.,18,Singapore,No Background,No Background,Understanding more of python,Computers & Peripherals,Mobile & Gadgets,Video Games
7/3/2020 6:35:11,Mr.,35,Taiwai,Have studied,Have studied,Learn skills to apply job,Computers & Peripherals,Mobile & Gadgets,Hobbies & Books
7/3/2020 6:59:13,Mr.,23,Singapore,Have studied,Have studied,Hone python skills,Hobbies & Books,Mobile & Gadgets,Video Games
7/3/2020 7:01:35,Ms.,38,Malaysia,No Background,No Background,To understand the fundamental of python,Mobile & Gadgets,Computers & Peripherals,Hobbies & Books
7/3/2020 7:52:17,Mr.,30,Indonesia,Have studied,Have studied,I want to understand data science using python,Computers & Peripherals,Mobile & Gadgets,Men's Wear
7/3/2020 7:57:58,Mr.,47,Malaysia,Have studied,No Background,learn more understanding about the topic,Computers & Peripherals,Food & Beverages,Mobile & Gadgets
7/3/2020 7:58:38,Ms.,15,Thailand,Have studied,No Background,Can have your own bot and can do another thing using these skills,Mobile & Gadgets,Food & Beverages,Jewellery & Accessories
7/3/2020 8:04:06,Mr.,20,Singapore,No Background,No Background,Introduction and learning of python and data science basics to enhance future learning,Mobile & Gadgets,Computers & Peripherals,Jewellery & Accessories
7/3/2020 8:10:38,Mr.,22,Indonesia,Have used in a project,Have used in a project,Create Chatbot,Mobile & Gadgets,Video Games,Computers & Peripherals
7/3/2020 8:13:17,Ms.,39,Indonesia,Have studied,Have studied,studying from fundamental,Hobbies & Books,Women's Apparel,Men's Wear
7/3/2020 8:15:32,Mr.,22,Singapore,"Have studied, Have used in a project",No Background,To be able to apply data science into projects by learning the fundamentals of machine learning and working with data to bring about a useful and valuable analysis,Men's Wear,Computers & Peripherals,Video Games
7/3/2020 8:20:24,Mr.,29,Thailand,Have studied,No Background,More understand,Hobbies & Books,Beauty & Personal Care,Computers & Peripherals
